tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,12,National Grid | Ofgem,Electricity,Google News: Ofgem,news.google.com,2026-09-03T07:10:19+00:00,Ofgem says NESO have shown inconsistent customer engagement in new report - Energy Live News,https://news.google.com/rss/articles/CBMitwFBVV95cUxPZkx4MnF2aXJsbGdMcEtQbUNvamk0TW9JUE1MWGE0ZGJrQjY3SlI5ZHJiTlRRWXROLU1JM19mVE93UGtCNjFiUnJJdUVtUVRUV3JPbWpRWWFqNHBmeXQxSkp6bkJFQWxlcWtMWHJxUGozaFFiR2ZfXzlLVTl5WkNKdWxZNW9uNUs0TEE4ZUs4aDM2b2NMMWVlbkx6dkJ1R2ZOOF9vUmdiUjZhTGdsR20ydjFHajlKeXM?oc=5,Ofgem says NESO have shown inconsistent customer engagement in new report Energy Live News,,
MENTIONED,9,National Grid | Ofgem,Electricity,Google News: Ofgem,news.google.com,2026-09-02T16:06:13+00:00,Ofgem: NESO failed to prove value for money - utilityweek.co.uk,https://news.google.com/rss/articles/CBMieEFVX3lxTE9TcWp6aHdITkNHaTdpNnVTSGNqaTBRcTVyR21mNVRESGFLQnhNVmwyamo4NUh4YVd1aE9mQWJ5eFFJZ0xVdXM3cVdveVY5QUFsQ0tySi0xQnZTamU1dDhTSXhmYTEtSWlzTTZfcWRlSmFPYkt4ZVp0ONIBhAFBVV95cUxObFJCbWtoZmFzUHhoYUNzZjMtdS1KazBGb2JJUlVOOENETzZQRG5HdjRUTEtEaXZyc0RNNWVUTUo0bTY2amN6OE1EdV9OVzF3cVhyeUhObkJ4U3VtSnVvZnc1ZTlucHlKTmlwZWo3Z3o3QzFTNDNPa3U5V0lzUlIySjVtS00?oc=5,Ofgem: NESO failed to prove value for money utilityweek.co.uk,,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-09-03T09:40:57+00:00,Southern Water shows off Yew Hill Reservoir - Construction Index,https://news.google.com/rss/articles/CBMilwFBVV95cUxOc19EaTNlbUlMbG42WElLYjl2aUQyanNIdFZBR1V0QWpVWUFkVkc1RkY0ZV9PQUI1R3N5bHBHc0d0a01vdlRGcDFqbjFQdS1KUEViYkVRZTJNT2Z6dVp1UEdDbGQ5TVc5ZXJMOW9RdE9ZWE9UTFVEU2N1U3hGcUZacl9YaDZSZ3JTRko1Wl8yV1RJUmQ1Zy1n0gGfAUFVX3lxTE9aRUp4VG55aTBVQWMtdlhiN2RWQVNIT2RxemZnUkV2RXF3TC04MVg1TXJXUTAzb0ZCYUhVMHprS0lXUF9qOTJaZGJZLW5LeWlnV2FmelA3cnNWeGF1N1RkZlFGdTRWZzRFNWJOTmlETGNyaFo5ZG8zQTg2RGwwb2QxTnZ2SjBvY2RzWmxaUHFvNUFJWlhFWm4zbzJrUC1vaw?oc=5,Southern Water shows off Yew Hill Reservoir Construction Index,,
MENTIONED,8,NI Water,Water,Google News: NI Water,news.google.com,2026-09-04T08:03:54+00:00,Kimmins commissions a forensic audit into governance systems in NI Water - Department for Infrastructure,https://news.google.com/rss/articles/CBMipwFBVV95cUxNSW44dzBISUVOTThFX1hXRWpyMEJEMkZZTXFNbjJqQlFfWEQ4TGhRSGZDc2E2S2J4RndiYmpHSUkwSFFxNnZpQTk2YmRZZklpVUZYRXFlSk9IRDRZMVhleGdUbmE3d3pxN3RBNzZTWkZ3UUYyN3pfWkEybGwtOGg1YVk5a3F4SDZKcUk4M25BbERtWUdtaXhVdDJibWFQMi1Ub2l2ZnR3TQ?oc=5,Kimmins commissions a forensic audit into governance systems in NI Water Department for Infrastructure,,+1 other outlet covered this
MENTIONED,8,SSEN,Electricity,Google News: SSEN,news.google.com,2026-09-04T14:57:40+00:00,New robots rolled out as SSEN Transmission expands robotic HVDC inspection programme - Aberdeen & Grampian Chamber of Commerce,https://news.google.com/rss/articles/CBMivAFBVV95cUxQV2xJbVY2NWltczN2ZjMxTlpyMnk3TEMwZERPem1BOW9ST25uOWFtcGpNMzlLVF9uVER6aDNQckY5MVBWVGpINDZhaXRlbVdSbU1hWjJHNjZBbGRkdzZoUHhjOENZZnp2Z1ZINlZPaERxTTUyVmhFRW9KWlVsdHhkVWphRTN2ZXVsMUtIYWFLSjY2ZDBqSDVYU093UHo3YXp5c3ppWXdOVnhLemcxaGZ6TnA1OVdZTXV1TkRqeA?oc=5,New robots rolled out as SSEN Transmission expands robotic HVDC inspection programme Aberdeen & Grampian Chamber of Commerce,,
MENTIONED,8,BT Group,Telecoms,Google News: BT Group,news.google.com,2026-09-03T10:50:59+00:00,Which offers better value today: Tesco or BT shares? - The Twelfth Magpie,https://news.google.com/rss/articles/CBMilwFBVV95cUxPTG8zUFM0M2JvclJrRllSZ0RsNlRhc0pXUEtKbzhBOXlocGh1cUR2QXZFMnR4a0Y2QTJ2eTZjM09wM051YkxTQ3ZZYjFFdk83Y2UwYjlTNzdQTDU5bnBtV1JWUVBTUnFfbnNZeW9YSnRiZXIzUjlWZnozbW1hekNheDJQMjM5Rk90WDhQY1FoYVkwMlQwa3Z3?oc=5,Which offers better value today: Tesco or BT shares? The Twelfth Magpie,,
MENTIONED,7,Southern Water,Water,Google News: Southern Water,news.google.com,2026-09-03T19:36:10+00:00,WOOTTON MAN REVEALS HOW HOUSEHOLDS CAN CLAIM MONEY BACK FROM SOUTHERN WATER - Island Echo,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPTklLV09Fc3dEZ2xReWVlTnB6c1BSeTFBNVJ1TUlkb3dsaXBQNzZsUWJzczBYdXVRb1c4ZnhVaFJiVldubXpEaFdELXllcXphYWxDeU93bnJDRWJZWUtLY1NQZlJRY3I4bFhmTk1jT2NaQnhKakJ6cUp3cnFuZUkwMlRWT1M4N0NraEpmVEo3WG1WNmhvNWhfMnNKaEYyUVRJcWpEYkRFUmw?oc=5,WOOTTON MAN REVEALS HOW HOUSEHOLDS CAN CLAIM MONEY BACK FROM SOUTHERN WATER Island Echo,media_and_events,
MENTIONED,7,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-09-04T12:47:00+00:00,Scottish Water works will pull the plug on two Falkirk area roads next week - Falkirk Herald,https://news.google.com/rss/articles/CBMiygFBVV95cUxQSHpQTmJXdk5LTl9GQl9ORTI4SlFHR09zOHEwMWJ1QjZtbFBNMkwwSXhmNU8wLXNFT3hHYU43MkpuUHc2cHFWb3AwS1ozazZOZzNHNndDOEZnMm1zV1htNVlPb0wtLUE3M3NXZTltbEVwTVBlTFI4QzE3UlpPSXRjNWk2UFBKcXUxdDN5cjBqT3pFNGRhR1JJckloLVdUWUVtWXRqeEtGTnkyMk0yejFkaDVqVmlPMUY1ZkF6emlDRzVCRjc3S0szWU9n?oc=5,Scottish Water works will pull the plug on two Falkirk area roads next week Falkirk Herald,media_and_events,
MENTIONED,7,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-09-01T07:00:00+00:00,OCS completes ‘first of its kind’ battery storage solution for Scottish Water Horizons - fmj.co.uk,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNLWZDTHU1dHNXZHdBQmk3TFdkamhVTDc1eHVDNHJxa2NWVXcxU2JGX2xmS0VCRVZuaExLQVc0emN3QklEaEpoSHJaYjNSSHlkREdnVE5NUEFDZXhHdjNuVnJWTTJDSURWNlV5TE1mdnoxbngtYUxlb0VRblhKQTNWREd4UkthVlZjeVJZeThqWmNiTzhHT3BXMnNiTWc5Y0xCaFJLUGFNOUFFcDQ?oc=5,OCS completes ‘first of its kind’ battery storage solution for Scottish Water Horizons fmj.co.uk,media_and_events,
MENTIONED,7,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-09-01T05:00:00+00:00,Nairn community fears traffic “chaos” as Scottish Water works set to take eight months - Inverness Courier,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPZnNvdVZtSTNmOWJjTUdwV01XTXVtcXFXX1NuamFJa3BWeFNMTWVaZmY4NlJjV0RZQWp6SG9RQ1BiU2dOaG5sU3lheXlHZ0IxMWRBOVhHWFVOby1vOG1oaHZNQ1BiWEYtMnU1eDJhTy1HZXExVjVYbG9oNVhkaVZwcmhXQlpQeUczLWNVd0UwVWJhUFF3alFLajVpYkVBZGpJQkhRQmZQamRMX1k?oc=5,Nairn community fears traffic “chaos” as Scottish Water works set to take eight months Inverness Courier,media_and_events,
